Country Name,Country Code,"2014 Health expenditure, total (% of GDP)","2014 Life expectancy at birth, total (years)","2014 Population, total"
Heavily indebted poor countries (HIPC),HPC,6.040348315,61.16724084,704745420
Croatia,HRV,7.80324176,77.47804878,4238389
Haiti,HTI,7.55565419,62.71314634,10572466
Hungary,HUN,7.40078093,75.76341463,9866468
IBRD only,IBD,5.926848854,72.34335635,4607807731
IDA & IBRD total,IBT,5.82652382,70.02402922,6112778045
IDA total,IDA,4.46359958,62.92237258,1504970314
IDA blend,IDB,3.831822192,61.03881152,497751634
Indonesia,IDN,2.84686016,68.8684878,255131116
IDA only,IDX,5.169367621,63.8531217,1007218680
Isle of Man,IMN,,,82590
India,IND,4.68508833,68.05002439,1293859294
Not classified,INX,,,
Ireland,IRL,7.78319657,81.34878049,4617225
"Iran, Islamic Rep.",IRN,6.8949223,75.47819512,78411092
Iraq,IRQ,5.53887318,69.42560976,35006080
Iceland,ISL,8.85916593,82.86097561,327386
Israel,ISR,7.80830808,82.15365854,8215700
Italy,ITA,9.24791783,83.0902439,60789140
Jamaica,JAM,5.36152479,75.65853659,2862087
Jordan,JOR,7.45299586,74.04495122,8809306
Japan,JPN,10.22874408,83.58780488,127276000
Kazakhstan,KAZ,4.35593983,71.62,17289224
Kenya,KEN,5.72029126,66.19414634,46024250
Kyrgyz Republic,KGZ,6.48376219,70.40243902,5835500
Cambodia,KHM,5.67563855,68.1062439,15270790
Kiribati,KIR,10.21295042,65.87060976,110458
St. Kitts and Nevis,KNA,5.08036532,,53739
"Korea, Rep.",KOR,7.37311255,82.15585366,50746659
Kuwait,KWT,3.04236844,74.6234878,3782450
Latin America & Caribbean (excluding high income),LAC,7.280566123,74.92018456,597035363
Lao PDR,LAO,1.86554551,65.92263415,6576397
Lebanon,LBN,6.39370883,79.32626829,5603279
Liberia,LBR,10.03633328,61.5012439,4390737
Libya,LBY,4.96893503,71.71939024,6204108
St. Lucia,LCA,6.71904145,75.10436585,176421
Latin America & Caribbean,LCN,7.31027174,75.06371707,624331830
Least developed countries: UN classification,LDC,4.76861171,63.67757136,934192321
Low income,LIC,5.747864555,61.59026379,624759914
Liechtenstein,LIE,,82.07317073,37127
Sri Lanka,LKA,3.50335011,74.81465854,20771000
Lower middle income,LMC,4.496193521,67.45876614,2927194316
Low & middle income,LMY,5.807555113,69.97035579,6093019655
Lesotho,LSO,10.61767672,53.09321951,2145785
Late-demographic dividend,LTE,6.067365278,75.33914932,2235382535
Lithuania,LTU,6.55211709,74.51707317,2932367
Luxembourg,LUX,6.93787356,82.22926829,556319
Latvia,LVA,5.88069354,74.12439024,1993782
"Macao SAR, China",MAC,,83.42692683,588781
St. Martin (French part),MAF,,79.32195122,31530
Morocco,MAR,5.90777806,75.25514634,34318082
Monaco,MCO,4.337683,,38132
Moldova,MDA,10.32365569,71.16168293,3556397
Madagascar,MDG,3.04135502,65.10131707,23589801
Maldives,MDV,13.73352009,76.85587805,401000
Middle East & North Africa,MEA,5.321737236,73.12388055,421022841
Mexico,MEX,6.29642103,76.69917073,124221600
Marshall Islands,MHL,17.13572274,,52898
Middle income,MIC,5.808385469,70.92783423,5468259741
"Macedonia, FYR",MKD,6.47637457,75.358,2077495
Mali,MLI,6.86216649,56.98670732,16962846
Malta,MLT,9.74992027,81.94634146,427364
Myanmar,MMR,2.27575459,66.20721951,51924182
Middle East & North Africa (excluding high income),MNA,6.355813808,72.58932144,361077997
Montenegro,MNE,6.41654268,76.63885366,621810
Mongolia,MNG,4.73034173,68.88260976,2923896
Northern Mariana Islands,MNP,,,54468
Mozambique,MOZ,6.97558186,56.99434146,27212382
Mauritania,MRT,3.77269904,62.8702439,4063920
Mauritius,MUS,4.80954464,74.19439024,1260934
Malawi,MWI,11.37795606,61.81660976,17068838
Malaysia,MYS,4.16907804,75.05370732,30228017
North America,NAC,16.51548075,79.06415393,354173159
Namibia,NAM,8.92868766,62.83892683,2370992
New Caledonia,NCL,,77.57317073,268000
Niger,NER,5.82129922,59.2405122,19148219
Nigeria,NGA,3.66879844,52.54134146,176460502
Nicaragua,NIC,9.04013941,74.77278049,6013997
Netherlands,NLD,10.89729305,81.70731707,16865008
Norway,NOR,9.71971755,82.1,5137232
Nepal,NPL,5.797226,69.49897561,28323241
Nauru,NRU,3.32664948,,11853
New Zealand,NZL,11.0296101,81.40487805,4509700
OECD members,OED,12.32153999,80.14410427,1273109967
Oman,OMN,3.55393969,76.89456098,3960925
Other small states,OSS,4.232032482,66.95622134,28759578
Pakistan,PAK,2.61391631,66.14919512,185546257
Panama,PAN,8.0257236,77.62543902,3903986
Peru,PER,5.47303468,74.48536585,30973354
Philippines,PHL,4.7099852,68.87017073,100102249
Palau,PLW,9.02153343,,21094
Papua New Guinea,PNG,4.26357082,65.23407317,7755785
Poland,POL,6.35024637,77.60243902,38011735
Pre-demographic dividend,PRE,4.76775993,59.04751617,830442736
Puerto Rico,PRI,,79.39012195,3534874
"Korea, Dem. People’s Rep.",PRK,,70.95207317,25116363
Portugal,PRT,9.50107564,81.12195122,10401062
Paraguay,PRY,9.81442131,72.93241463,6552584
West Bank and Gaza,PSE,,73.12812195,4294682
Pacific island small states,PSS,5.780170476,70.54402369,2329458
Post-demographic dividend,PST,12.70239129,80.5272136,1092601669
French Polynesia,PYF,,76.50695122,275484
Qatar,QAT,2.18706236,78.3035122,2374419
Romania,ROU,5.56500913,74.96097561,19908979
Russian Federation,RUS,7.07040825,70.74365854,143819666
Rwanda,RWA,7.53155111,66.11334146,11345357
South Asia,SAS,4.372983081,68.20916845,1721840539
Saudi Arabia,SAU,4.68408481,74.39739024,30776722
Sudan,SDN,8.42877471,63.97473171,37737913
Senegal,SEN,4.66497201,66.25782927,14546111
Singapore,SGP,4.92279194,82.49512195,5469724
Solomon Islands,SLB,5.05106254,70.16231707,575504
Sierra Leone,SLE,11.08990224,50.94260976,7079162
El Salvador,SLV,6.77240285,72.75529268,6281189
San Marino,SMR,6.12906486,,32657
Somalia,SOM,,55.46568293,13513125
Serbia,SRB,10.36881192,75.33658537,7130576
Sub-Saharan Africa (excluding high income),SSA,5.476439572,59.39858813,978533722.7
South Sudan,SSD,2.73842073,55.7964878,11530971
Sub-Saharan Africa,SSF,5.474746875,59.39987928,978625081.7
Small states,SST,4.507203565,68.26977195,38251715
Sao Tome and Principe,STP,8.35346606,66.29070732,191266
Suriname,SUR,5.68746988,71.14697561,547928
Slovak Republic,SVK,8.05404755,76.81219512,5418649
Slovenia,SVN,9.23388628,81.07804878,2061980
Sweden,SWE,11.92983965,82.25365854,9696110
Swaziland,SWZ,9.25193954,56.10146341,1295097
Sint Maarten (Dutch part),SXM,,,37685
Seychelles,SYC,3.36981689,73.22926829,91359
Syrian Arab Republic,SYR,3.25453108,70.16321951,19203090
Turks and Caicos Islands,TCA,,,33739
Chad,TCD,3.6211644,52.18107317,13569438
East Asia & Pacific (IDA & IBRD countries),TEA,5.257042068,74.22379227,1996870376
Europe & Central Asia (IDA & IBRD countries),TEC,6.412490615,72.74292048,450522686
Togo,TGO,5.24687674,59.57634146,7228915
Thailand,THA,4.122164481,74.86404878,68416772
Tajikistan,TJK,6.880884,70.82697561,8362745
Turkmenistan,TKM,2.06738625,67.49068293,5466241
Latin America & the Caribbean (IDA & IBRD countries),TLA,7.25635404,74.95507474,608136047
Timor-Leste,TLS,1.47530345,68.29295122,1212814
Middle East & North Africa (IDA & IBRD countries),TMN,6.355813808,72.58283577,356783315
Tonga,TON,5.17677064,72.70136585,105782
South Asia (IDA & IBRD),TSA,4.372983081,68.20916845,1721840539
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.474746875,59.39987928,978625081.7
Trinidad and Tobago,TTO,5.93319696,70.45965854,1354493
Tunisia,TUN,7.00385794,75.31434146,11143908
Turkey,TUR,5.41495949,75.15214634,77030628
Tuvalu,TUV,16.53663877,,10908
Tanzania,TZA,5.58011591,64.1184878,52234869
Uganda,UGA,7.22213686,59.15580488,38833338
Ukraine,UKR,7.09573611,71.18658537,45271947
Upper middle income,UMC,6.169567978,74.92436697,2541065425
Uruguay,URY,8.5814914,76.98209756,3419546
United States,USA,17.14075435,78.74146341,318563456
Uzbekistan,UZB,5.83852176,70.99339024,30757700
St. Vincent and the Grenadines,VCT,8.63023974,72.9395122,109357
"Venezuela, RB",VEN,5.2567025,74.22614634,30738378
British Virgin Islands,VGB,,,29588
Virgin Islands (U.S.),VIR,,79.77317073,104170
Vietnam,VNM,7.06677833,75.69529268,90728900
Vanuatu,VUT,5.02357493,71.772,258850
World,WLD,9.921149564,71.69170194,7268986176
Samoa,WSM,7.21510906,74.58007317,192290
Kosovo,XKX,,71.09756098,1821800
"Yemen, Rep.",YEM,5.63699019,64.50717073,26246327
South Africa,ZAF,8.79698456,60.95478049,54146734.74
Zambia,ZMB,4.98676469,60.71534146,15620974
Zimbabwe,ZWE,6.43947119,59.24431707,15411675
